epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,3824.68,0.6032,0.38953,0.9018,0.99603,1,0.995,0.87847,0.52853,0.33529,0.84644,0.000812,0.000812,0.000812
62,3909.92,0.58457,0.39668,0.90448,0.99585,1,0.995,0.88779,0.47781,0.3329,0.83213,0.0007922,0.0007922,0.0007922
63,4001.9,0.6163,0.39984,0.90496,0.99454,0.99617,0.995,0.87677,0.52914,0.34012,0.84288,0.0007724,0.0007724,0.0007724
64,4093.76,0.60653,0.40206,0.90167,0.99238,0.9977,0.995,0.87134,0.53402,0.33178,0.84843,0.0007526,0.0007526,0.0007526
65,4186.43,0.63321,0.41515,0.92768,0.99239,0.99888,0.995,0.88788,0.49992,0.3172,0.83934,0.0007328,0.0007328,0.0007328
66,4259.75,0.58598,0.38418,0.9067,0.99872,1,0.995,0.89275,0.48352,0.30761,0.83867,0.000713,0.000713,0.000713
67,4309.5,0.5932,0.39455,0.9102,0.99908,1,0.995,0.89544,0.45788,0.30242,0.83181,0.0006932,0.0006932,0.0006932
68,4359.91,0.55273,0.37631,0.88945,0.99955,1,0.995,0.90114,0.47031,0.30864,0.83692,0.0006734,0.0006734,0.0006734
69,4408.52,0.57059,0.39018,0.90287,0.99949,1,0.995,0.90226,0.44946,0.30132,0.83228,0.0006536,0.0006536,0.0006536
70,4457.08,0.54435,0.36749,0.90284,0.99944,1,0.995,0.9112,0.44542,0.29159,0.82748,0.0006338,0.0006338,0.0006338
71,4506.27,0.56484,0.37241,0.89423,0.99895,1,0.995,0.90963,0.4449,0.2926,0.82795,0.000614,0.000614,0.000614
72,4554.69,0.58539,0.37772,0.89543,0.99842,1,0.995,0.89485,0.4777,0.31105,0.83434,0.0005942,0.0005942,0.0005942
73,4603.02,0.56142,0.38671,0.89712,0.99875,1,0.995,0.8923,0.48127,0.30005,0.83404,0.0005744,0.0005744,0.0005744
74,4651.13,0.56411,0.38399,0.89131,1,0.99982,0.995,0.915,0.43384,0.30401,0.82534,0.0005546,0.0005546,0.0005546
75,4699.26,0.55362,0.38801,0.88709,1,0.99962,0.995,0.8977,0.47843,0.30386,0.831,0.0005348,0.0005348,0.0005348
76,4775.79,0.56149,0.37272,0.88932,0.99948,1,0.995,0.91989,0.40368,0.2887,0.81556,0.000515,0.000515,0.000515
77,4866.66,0.5182,0.34808,0.88902,0.99938,1,0.995,0.90292,0.45231,0.28402,0.8251,0.0004952,0.0004952,0.0004952
78,4925.3,0.51183,0.35483,0.87496,0.99911,1,0.995,0.9096,0.43492,0.27572,0.82233,0.0004754,0.0004754,0.0004754
79,4973.25,0.54154,0.35556,0.90355,0.99895,1,0.995,0.91549,0.41231,0.27509,0.81657,0.0004556,0.0004556,0.0004556
80,5035.49,0.52485,0.36027,0.88901,0.99879,1,0.995,0.9127,0.41911,0.27166,0.81749,0.0004358,0.0004358,0.0004358
81,5128.23,0.50103,0.34478,0.8618,0.99921,1,0.995,0.91549,0.41832,0.27607,0.81799,0.000416,0.000416,0.000416
82,5211.84,0.53393,0.35022,0.88912,0.99933,1,0.995,0.92557,0.38658,0.26429,0.81262,0.0003962,0.0003962,0.0003962
83,5261.78,0.52087,0.34708,0.87971,0.99876,1,0.995,0.92027,0.39445,0.26256,0.81596,0.0003764,0.0003764,0.0003764
84,5327.37,0.49846,0.34883,0.86279,0.99878,1,0.995,0.9235,0.38527,0.26698,0.81383,0.0003566,0.0003566,0.0003566
85,5375.54,0.51532,0.34245,0.88213,0.99931,1,0.995,0.93564,0.3797,0.25788,0.81037,0.0003368,0.0003368,0.0003368
86,5423.18,0.4557,0.31318,0.87284,0.99953,1,0.995,0.93087,0.38149,0.25296,0.81122,0.000317,0.000317,0.000317
87,5471.3,0.49286,0.32362,0.86286,0.99947,1,0.995,0.93326,0.38101,0.25288,0.81139,0.0002972,0.0002972,0.0002972
88,5519.29,0.48155,0.32807,0.88476,0.99946,1,0.995,0.93171,0.38465,0.25383,0.81054,0.0002774,0.0002774,0.0002774
89,5567.77,0.48297,0.34238,0.88246,0.99947,1,0.995,0.93469,0.37266,0.25431,0.80765,0.0002576,0.0002576,0.0002576
90,5625.23,0.48034,0.32393,0.88841,0.99959,1,0.995,0.94053,0.34949,0.24197,0.8043,0.0002378,0.0002378,0.0002378
91,5686.65,0.41917,0.28231,0.81058,0.99951,1,0.995,0.93242,0.36075,0.24485,0.80485,0.000218,0.000218,0.000218
92,5741.14,0.41823,0.27075,0.83736,0.99966,1,0.995,0.94281,0.33529,0.23661,0.79972,0.0001982,0.0001982,0.0001982
93,5807.22,0.41106,0.28,0.80946,0.99968,1,0.995,0.9448,0.33642,0.23505,0.80011,0.0001784,0.0001784,0.0001784
94,5858.17,0.41088,0.26592,0.83188,0.9996,1,0.995,0.94498,0.34411,0.23651,0.8011,0.0001586,0.0001586,0.0001586
95,5906.36,0.37769,0.25605,0.8109,0.99956,1,0.995,0.94658,0.33807,0.23793,0.80148,0.0001388,0.0001388,0.0001388
96,5955.61,0.41913,0.27786,0.81734,0.99954,1,0.995,0.9484,0.33186,0.23328,0.80071,0.000119,0.000119,0.000119
97,6002.99,0.37213,0.25643,0.81283,0.99955,1,0.995,0.948,0.33606,0.23494,0.80066,9.92e-05,9.92e-05,9.92e-05
98,6050.65,0.38463,0.25627,0.81503,0.99954,1,0.995,0.94154,0.35899,0.23649,0.80407,7.94e-05,7.94e-05,7.94e-05
99,6098.24,0.38736,0.25649,0.81852,0.99954,1,0.995,0.93706,0.35698,0.23195,0.80364,5.96e-05,5.96e-05,5.96e-05
100,6145.3,0.38802,0.26103,0.80827,0.99955,1,0.995,0.94475,0.3417,0.22594,0.8009,3.98e-05,3.98e-05,3.98e-05
